Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
659,B,1546,5,0,0,0,0,0
662,B,1550,5,0,0,0,0,0
663,B,1552,25,0,0,3,0,0
664,B,1553,45,0,98,0,0,0
664,B,1556,105,0,98,0,0,0
664,B,1557,15,0,98,0,0,0
664,B,1558,55,0,98,0,0,0
664,B,1559,25,0,98,0,0,0
664,B,1560,85,0,98,0,0,0
664,B,1562,25,0,98,0,0,0
664,B,1563,135,0,98,0,0,0
664,B,1564,35,0,98,0,0,0
664,B,1565,35,0,98,0,0,0
669,B,1571,15,0,3,0,0,0
670,B,1572,55,0,84,0,0,0
670,B,1573,15,0,84,0,0,0
670,B,1574,25,0,84,0,0,0
670,B,1575,65,0,84,0,0,0
670,B,1576,5,0,84,0,0,0
670,B,1577,155,0,84,0,0,0
670,B,1578,15,0,84,0,0,0
670,B,1580,25,0,84,0,0,0
670,B,1581,15,0,84,0,0,0
671,B,1582,35,0,0,19,0,0
673,B,1587,45,0,0,0,0,0
677,B,1591,35,4,0,10,0,0
677,B,1593,5,4,0,10,0,0
679,B,1595,25,0,0,0,100,0
680,B,1597,45,0,16,0,82,0
681,B,1599,175,0,96,0,2,0
681,B,1601,55,0,96,0,2,0
681,B,1604,55,0,96,0,2,0
681,B,1605,65,0,96,0,2,0
681,B,1608,35,0,96,0,2,0
681,B,1609,45,0,96,0,2,0
683,B,1613,5,0,72,24,0,0
683,B,1616,35,0,72,24,0,0
683,B,1617,5,0,72,24,0,0
683,B,1618,95,0,72,24,0,0
683,B,1619,55,0,72,24,0,0
683,B,1622,55,0,72,24,0,0
684,B,1624,15,0,0,0,0,0
685,B,1625,65,0,0,0,22,0
685,B,1626,75,0,0,0,22,0
689,B,1631,25,0,0,0,16,0
689,B,1634,45,0,0,0,16,0
689,B,1636,5,0,0,0,16,0
690,B,1638,45,0,98,0,0,0
690,B,1640,35,0,98,0,0,0
690,B,1643,45,0,98,0,0,0
690,B,1646,85,0,98,0,0,0
690,B,1647,85,0,98,0,0,0
690,B,1648,135,0,98,0,0,0
690,B,1650,115,0,98,0,0,0
690,B,1651,115,0,98,0,0,0
691,B,1652,5,0,4,0,0,0
692,B,1655,45,0,0,20,0,0
693,B,1657,45,0,19,42,29,0
693,B,1659,105,0,19,42,29,0
694,B,1663,35,0,88,0,4,0
694,B,1664,125,0,88,0,4,0
696,B,1669,25,0,100,0,0,0
696,B,1671,45,0,100,0,0,0
696,B,1673,35,0,100,0,0,0
696,B,1674,75,0,100,0,0,0
696,B,1675,45,0,100,0,0,0
696,B,1676,25,0,100,0,0,0
696,B,1677,105,0,100,0,0,0
696,B,1679,145,0,100,0,0,0
697,B,1681,85,0,57,4,17,0
697,B,1682,35,0,57,4,17,0
698,B,1684,25,1,6,11,0,0
698,B,1686,5,1,6,11,0,0
698,B,1687,45,1,6,11,0,0
700,B,1690,15,0,94,0,6,0
